,ibns_20u,ibns_20u_9n,vgs_m1,ibn_settl_err,name,type,time,OK
0,22.40607,22.40592,0.6612653,0.1500000000003289,tran_SchGtAmcttTtVt_29,Sch,Tue Dec 20 11:28:26 2022,True
1,23.983150000000002,23.98302,0.6662192,0.13000000000231793,tran_SchGtAmcttTtVt_28,Sch,Tue Dec 20 11:28:26 2022,True
2,19.43257,19.43244,0.655524,0.1299999999989298,tran_SchGtAmcttTtVt_27,Sch,Tue Dec 20 11:28:26 2022,True
3,18.50967,18.50958,0.6516333,0.09000000000290785,tran_SchGtAmcttTtVt_26,Sch,Tue Dec 20 11:28:26 2022,True
4,23.15375,23.1536,0.6606821,0.14999999999694077,tran_SchGtAmcttTtVt_25,Sch,Tue Dec 20 11:28:26 2022,True
5,25.11714,25.116979999999998,0.6665706,0.16000000000102846,tran_SchGtAmcttTtVt_24,Sch,Tue Dec 20 11:28:26 2022,False
6,21.40502,21.40491,0.6588543,0.11000000000091882,tran_SchGtAmcttTtVt_23,Sch,Tue Dec 20 11:28:26 2022,True
7,19.34143,19.34131,0.6587451,0.11999999999823024,tran_SchGtAmcttTtVt_22,Sch,Tue Dec 20 11:28:26 2022,True
8,22.05611,22.055960000000002,0.658953,0.1500000000003289,tran_SchGtAmcttTtVt_21,Sch,Tue Dec 20 11:28:26 2022,True
9,21.42656,21.426440000000003,0.6582888,0.11999999999823024,tran_SchGtAmcttTtVt_20,Sch,Tue Dec 20 11:28:26 2022,True
10,22.57377,22.57364,0.6621252,0.1299999999989298,tran_SchGtAmcttTtVt_19,Sch,Tue Dec 20 11:28:26 2022,True
11,22.69535,22.69522,0.6624331,0.1299999999989298,tran_SchGtAmcttTtVt_18,Sch,Tue Dec 20 11:28:26 2022,True
12,22.45441,22.45426,0.6624151,0.1500000000003289,tran_SchGtAmcttTtVt_17,Sch,Tue Dec 20 11:28:26 2022,True
13,24.35407,24.35392,0.6657891,0.1500000000003289,tran_SchGtAmcttTtVt_16,Sch,Tue Dec 20 11:28:26 2022,False
14,24.445500000000003,24.44535,0.6659398,0.1500000000003289,tran_SchGtAmcttTtVt_15,Sch,Tue Dec 20 11:28:26 2022,False
15,20.38714,20.38702,0.6569409,0.11999999999823024,tran_SchGtAmcttTtVt_14,Sch,Tue Dec 20 11:28:26 2022,True
16,21.44701,21.44691,0.660862,0.10000000000021927,tran_SchGtAmcttTtVt_13,Sch,Tue Dec 20 11:28:26 2022,True
17,21.22946,21.22931,0.6605909,0.1500000000003289,tran_SchGtAmcttTtVt_12,Sch,Tue Dec 20 11:28:26 2022,True
18,24.23189,24.23176,0.6657453,0.1299999999989298,tran_SchGtAmcttTtVt_11,Sch,Tue Dec 20 11:28:26 2022,False
19,22.52392,22.52377,0.6604862,0.1500000000003289,tran_SchGtAmcttTtVt_10,Sch,Tue Dec 20 11:28:26 2022,True
20,28.83314,28.83296,0.673814,0.17999999999903943,tran_SchGtAmcttTtVt_9,Sch,Tue Dec 20 11:28:26 2022,False
21,23.557820000000003,23.55771,0.6655142,0.11000000000091882,tran_SchGtAmcttTtVt_8,Sch,Tue Dec 20 11:28:26 2022,True
22,23.109370000000002,23.10921,0.6610796,0.16000000000102846,tran_SchGtAmcttTtVt_7,Sch,Tue Dec 20 11:28:26 2022,True
23,24.41535,24.4152,0.664904,0.1500000000003289,tran_SchGtAmcttTtVt_6,Sch,Tue Dec 20 11:28:26 2022,False
24,19.88308,19.882949999999997,0.6591652,0.13000000000231793,tran_SchGtAmcttTtVt_5,Sch,Tue Dec 20 11:28:26 2022,True
25,21.58849,21.588359999999998,0.6596922,0.13000000000231793,tran_SchGtAmcttTtVt_4,Sch,Tue Dec 20 11:28:26 2022,True
26,18.55272,18.55259,0.6540485,0.13000000000231793,tran_SchGtAmcttTtVt_3,Sch,Tue Dec 20 11:28:26 2022,True
27,24.56142,24.56125,0.6692991,0.16999999999833987,tran_SchGtAmcttTtVt_2,Sch,Tue Dec 20 11:28:26 2022,False
28,18.45771,18.4576,0.6535737,0.1099999999975307,tran_SchGtAmcttTtVt_1,Sch,Tue Dec 20 11:28:26 2022,True
29,25.13085,25.1307,0.6661575,0.1500000000003289,tran_SchGtAmcttTtVt,Sch,Tue Dec 20 11:28:26 2022,False
